th; recall; fpr; f1_score; precision
0.01; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.02; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.03; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.04; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.05; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.060000000000000005; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.06999999999999999; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.08; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.09; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.09999999999999999; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.11; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.12; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.13; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.14; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.15000000000000002; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.16; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.17; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.18000000000000002; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.19; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.2; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.21000000000000002; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.22; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.23; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.24000000000000002; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.25; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.26; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.27; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.28; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.29000000000000004; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.3; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.31; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.32; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.33; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.34; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.35000000000000003; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.36000000000000004; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.37; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.38; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.39; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.4; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.41000000000000003; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.42000000000000004; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.43; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.44; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
0.45; 0.9999999995; 0.9999999999615384; 0.1333333332; 0.07142857142602041
