dataset name; recall; precision; f1_score;
Genome Nexus; 0.2486722618341446; 0.8454856872558594; 0.3843116760253906;
Gestao Hospital; 0.4097231924533844; 0.7784740328788757; 0.5368786454200745;
London Ambulance Service; 0.7312899827957153; 0.7312899827957153; 0.7312899827957153;
SIA Project 25 26; 0.48414385318756104; 0.7262157797813416; 0.5809726119041443;
Weighted averages; Precision: 0.7891643047332764; Recall: 0.398359090089798; F1-score: 0.5294561386108398;
