dataset name; recall; precision; f1_score;
Genome Nexus; 0.4000000059604645; 1.0; 0.5714285969734192;
Gestao Hospital; 0.8378915786743164; 0.8378915786743164; 0.8378915786743164;
London Ambulance Service; 0.7314841151237488; 0.7314841151237488; 0.731484055519104;
SIA Project 25 26; 0.7040655016899109; 0.8448785543441772; 0.7680714130401611;
Weighted averages; Precision: 0.8592333197593689; Recall: 0.6669893860816956; F1-score: 0.7510037422180176;
