dataset name; recall; precision; f1_score;
Genome Nexus; 0.8828222155570984; 0.5517638921737671; 0.6790940761566162;
Gestao Hospital; 0.8504524230957031; 0.7087103724479675; 0.7731385231018066;
London Ambulance Service; 0.7894270420074463; 0.5262846946716309; 0.6315416097640991;
SIA Project 25 26; 0.7102019786834717; 0.8522423505783081; 0.7747657895088196;
Weighted averages; Precision: 0.676048219203949; Recall: 0.8042646646499634; F1-score: 0.734603762626648;
