dataset name; recall; precision; f1_score;
Genome Nexus; 0.25077396631240845; 0.8526314496994019; 0.3875597417354584;
Gestao Hospital; 0.5563797950744629; 0.7550868988037109; 0.6406797766685486;
London Ambulance Service; 0.6784033179283142; 0.6784033179283142; 0.6784033179283142;
SIA Project 25 26; 0.6103792190551758; 0.6866766214370728; 0.6462838649749756;
Weighted averages; Precision: 0.7713621854782104; Recall: 0.455165296792984; F1-score: 0.5725061893463135;
