th; recall; fpr; f1_score; precision
0.01; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.02; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.03; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.04; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.05; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.060000000000000005; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.06999999999999999; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.08; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.09; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.09999999999999999; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.11; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.12; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.13; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.14; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.15000000000000002; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.16; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.17; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.18000000000000002; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.19; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.2; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.21000000000000002; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.22; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.23; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.24000000000000002; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.25; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.26; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.27; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.28; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.29000000000000004; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.3; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.31; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.32; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.33; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.34; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.35000000000000003; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.36000000000000004; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.37; 0.99999999975; 0.9999999999615384; 0.23529411742560552; 0.1333333333288889
0.38; 0.99999999975; 0.9615384615014793; 0.24242424219651057; 0.13793103447800237
0.39; 0.99999999975; 0.9615384615014793; 0.24242424219651057; 0.13793103447800237
0.4; 0.99999999975; 0.9615384615014793; 0.24242424219651057; 0.13793103447800237
0.41000000000000003; 0.99999999975; 0.9615384615014793; 0.24242424219651057; 0.13793103447800237
0.42000000000000004; 0.99999999975; 0.9615384615014793; 0.24242424219651057; 0.13793103447800237
0.43; 0.99999999975; 0.9230769230414201; 0.24999999976562498; 0.14285714285204082
0.44; 0.99999999975; 0.9230769230414201; 0.24999999976562498; 0.14285714285204082
0.45; 0.99999999975; 0.9230769230414201; 0.24999999976562498; 0.14285714285204082
0.46; 0.99999999975; 0.8846153845813609; 0.25806451588761703; 0.14814814814266117
0.47000000000000003; 0.99999999975; 0.8846153845813609; 0.25806451588761703; 0.14814814814266117
0.48000000000000004; 0.99999999975; 0.8461538461213017; 0.26666666641777775; 0.1538461538402367
0.49; 0.99999999975; 0.8461538461213017; 0.26666666641777775; 0.1538461538402367
