th; recall; fpr; f1_score; precision
0.01; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.02; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.03; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.04; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.05; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.060000000000000005; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.06999999999999999; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.08; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.09; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.09999999999999999; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.11; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.12; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.13; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.14; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.15000000000000002; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.16; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.17; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.18000000000000002; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.19; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.2; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.21000000000000002; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.22; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.23; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.24000000000000002; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.25; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.26; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.27; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.28; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.29000000000000004; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.3; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.31; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.32; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.33; 0.9999999998; 0.99999999995; 0.33333333303333335; 0.199999999992
0.34; 0.9999999998; 0.9499999999525; 0.34482758589774076; 0.2083333333246528
0.35000000000000003; 0.9999999998; 0.9499999999525; 0.34482758589774076; 0.2083333333246528
0.36000000000000004; 0.9999999998; 0.9499999999525; 0.34482758589774076; 0.2083333333246528
0.37; 0.9999999998; 0.9499999999525; 0.34482758589774076; 0.2083333333246528
0.38; 0.9999999998; 0.9499999999525; 0.34482758589774076; 0.2083333333246528
0.39; 0.9999999998; 0.9499999999525; 0.34482758589774076; 0.2083333333246528
0.4; 0.9999999998; 0.9499999999525; 0.34482758589774076; 0.2083333333246528
0.41000000000000003; 0.9999999998; 0.9499999999525; 0.34482758589774076; 0.2083333333246528
0.42000000000000004; 0.9999999998; 0.9499999999525; 0.34482758589774076; 0.2083333333246528
0.43; 0.9999999998; 0.899999999955; 0.35714285682397956; 0.21739130433837428
0.44; 0.9999999998; 0.899999999955; 0.35714285682397956; 0.21739130433837428
0.45; 0.9999999998; 0.899999999955; 0.35714285682397956; 0.21739130433837428
0.46; 0.9999999998; 0.899999999955; 0.35714285682397956; 0.21739130433837428
0.47000000000000003; 0.9999999998; 0.899999999955; 0.35714285682397956; 0.21739130433837428
0.48000000000000004; 0.9999999998; 0.79999999996; 0.3846153842751479; 0.23809523808390023
0.49; 0.9999999998; 0.79999999996; 0.3846153842751479; 0.23809523808390023
0.5; 0.9999999998; 0.7499999999625; 0.399999999648; 0.2499999999875
0.51; 0.9999999998; 0.7499999999625; 0.399999999648; 0.2499999999875
0.52; 0.9999999998; 0.7499999999625; 0.399999999648; 0.2499999999875
0.53; 0.9999999998; 0.7499999999625; 0.399999999648; 0.2499999999875
0.54; 0.9999999998; 0.7499999999625; 0.399999999648; 0.2499999999875
0.55; 0.9999999998; 0.7499999999625; 0.399999999648; 0.2499999999875
0.56; 0.9999999998; 0.59999999997; 0.4545454541528925; 0.2941176470415225
0.5700000000000001; 0.9999999998; 0.5499999999725; 0.4761904757823129; 0.31249999998046873
0.5800000000000001; 0.9999999998; 0.5499999999725; 0.4761904757823129; 0.31249999998046873
0.59; 0.9999999998; 0.5499999999725; 0.4761904757823129; 0.31249999998046873
0.6; 0.9999999998; 0.5499999999725; 0.4761904757823129; 0.31249999998046873
0.61; 0.9999999998; 0.499999999975; 0.49999999957499996; 0.3333333333111111
0.62; 0.9999999998; 0.3499999999825; 0.5882352936332179; 0.41666666663194446
0.63; 0.9999999998; 0.3499999999825; 0.5882352936332179; 0.41666666663194446
0.64; 0.9999999998; 0.3499999999825; 0.5882352936332179; 0.41666666663194446
0.65; 0.9999999998; 0.3499999999825; 0.5882352936332179; 0.41666666663194446
0.66; 0.79999999984; 0.3499999999825; 0.4999999995078125; 0.36363636360330576
0.67; 0.79999999984; 0.3499999999825; 0.4999999995078125; 0.36363636360330576
0.68; 0.79999999984; 0.3499999999825; 0.4999999995078125; 0.36363636360330576
0.6900000000000001; 0.79999999984; 0.3499999999825; 0.4999999995078125; 0.36363636360330576
0.7000000000000001; 0.79999999984; 0.3499999999825; 0.4999999995078125; 0.36363636360330576
0.7100000000000001; 0.79999999984; 0.3499999999825; 0.4999999995078125; 0.36363636360330576
0.72; 0.79999999984; 0.2499999999875; 0.5714285708877551; 0.4444444443950617
0.73; 0.79999999984; 0.2499999999875; 0.5714285708877551; 0.4444444443950617
0.74; 0.79999999984; 0.2499999999875; 0.5714285708877551; 0.4444444443950617
0.75; 0.79999999984; 0.2499999999875; 0.5714285708877551; 0.4444444443950617
0.76; 0.79999999984; 0.2499999999875; 0.5714285708877551; 0.4444444443950617
0.77; 0.59999999988; 0.2499999999875; 0.4615384609940829; 0.374999999953125
0.78; 0.59999999988; 0.1499999999925; 0.5454545448595041; 0.49999999991666666
0.79; 0.59999999988; 0.1499999999925; 0.5454545448595041; 0.49999999991666666
0.8; 0.59999999988; 0.1499999999925; 0.5454545448595041; 0.49999999991666666
0.81; 0.59999999988; 0.099999999995; 0.5999999993799999; 0.59999999988
0.8200000000000001; 0.59999999988; 0.099999999995; 0.5999999993799999; 0.59999999988
0.8300000000000001; 0.59999999988; 0.0; 0.7499999993437498; 0.9999999996666666
0.8400000000000001; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.85; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.86; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.87; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.88; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.89; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.9; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.91; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.92; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.93; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.9400000000000001; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.9500000000000001; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.9600000000000001; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.97; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.98; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
0.99; 0.39999999992; 0.0; 0.5714285708571428; 0.9999999995
